experiment

dia 7

espesor 100 //um

rata 1

area de lesion 1615594.667 //um2

celulas
x(um)	y(um)	Tipo	Pb
2354.667	2530.778	4	0.7
2447.667	2560.556	4	0.5
2473	2514.778	4	0.3
2598.222	2568	4	0.7
2348.889	2683.111	4	0.5
2496.889	2700.889	4	0.3
2467.111	2726.222	4	0.3
2422	2789.667	4	0.5
2618.889	2778.111	4	0.5
2710.222	2784.889	4	0.7
2692	2812	4	0.3
2596.444	2677.222	4	0.5
2684	2604.333	4	0.5
2764.889	2664.333	4	0.5
2790.333	2551.222	4	0.5
2727.667	2533	4	0.5
2704.556	2498.778	4	0.3
2771.667	2474.778	4	0.3
2859.667	2511.222	4	0.5
2760	2419.222	4	0.7
2460.222	2389.111	4	0.7
2518.889	2400.667	4	0.5
2565.111	2372.222	4	0.3
2616.556	2266	4	0.5
2675.667	2169.556	4	0.7
2310	2268.556	4	0.5
2259.778	2197.444	4	0.5
1965.556	2373.222	4	0.7
2024.222	2354.556	4	0.5
2130.444	2355.444	3	1
2015.667	2132	3	1
2019.667	2035.111	3	1
2065.444	1948.111	3	1
2148.111	1950.778	3	1
2173.111	1706.444	3	1
2251.333	1681.556	3	1
2621.333	1642.111	3	1
2635.333	1433.556	3	1
2283.778	1499.778	3	1
2474.444	1765.778	3	1
2489.556	1742.222	3	1
2682.444	1837.333	3	1
2894.667	2775	3	1
3020.667	2739.667	3	1
3120.333	2774	3	1
2944	2842	3	1
3002	2832	3	1
3034.667	2801	3	1
2767.667	2766.667	3	1
2855.667	2847.667	3	1
2937	2916.333	3	1
3089.333	2944.667	3	1
3046.333	2911.667	3	1
3373.333	3051.333	3	1
3300.667	2996	3	1
3500	3038	3	1
3508.333	3084.333	3	1
3316.333	3209	3	1
3311.333	3125.333	3	1
3488	3300.667	3	1
3481.333	3323	3	1
3521.667	3332	3	1
3655.667	3373.333	3	1
3502	3464.667	3	1
3577.333	3441.667	3	1
3576	3661.333	3	1
3670.333	3847.333	3	1
3822	3826.333	3	1
3738	3777.667	3	1
3902	3613	3	1
4034.667	3626	3	1
3768.667	3384.667	3	1
3964.333	3455	3	1
3986	3422	3	1
4179.667	3270	3	1
4110.333	3221	3	1
4143.333	3203	3	1
3962	3270	3	1
3597.667	3090.667	3	1
3554.667	3110	3	1
3339.333	3008.333	3	1
3198.667	2947	3	1
3224.333	2985.667	3	1
3350.667	2822.667	3	1
3132	2832.667	3	1
3098.667	2911	3	1
2968	2967	3	1
3009.333	2998.667	3	1
3187.667	2680.333	3	1
3080.333	2698.667	3	1
3057.333	2581.333	3	1
2900.667	2678.667	3	1
2730	2828	3	1
2806	2635	3	1
2556.667	2319	3	1
2447.667	2244.667	3	1
2330	2309.667	3	1
2653.333	2140.667	3	1
2735.667	2027.333	3	1
2776	1771.333	3	1
2938.333	1431.333	3	1
3604.667	1497	3	1
2913.333	1253.667	3	1
3275.333	1442.333	3	1
3162.667	1535	3	1
3130.333	1700.667	3	1
2741.333	1394.667	3	1
2716.333	1738	3	1
2524.333	2477.333	3	1
2504.333	2588.333	3	1
2582	2744	3	1
2531	2655	3	1
2546	2706.667	3	1
2713	2743.333	3	1
2958.333	2288.333	3	1
2820.667	1337.333	3	1
2833.667	1356.333	3	1
3467.667	1461	3	1
3331.333	1454.333	3	1
2984.333	1468.333	3	1
2280.667	1793.333	3	1
2528	1769.333	3	1
2401.333	2292.333	3	1
2293.333	2443.667	3	1
2260.333	2560.667	3	1
2262	2640.667	3	1
2190.667	2612.333	3	1
2280	2322	3	1
2212.667	2453.667	3	1
2125.667	2743.667	3	1
2313.333	2041	3	1
2630	2044	3	1
2618.333	2440.667	3	1
2762	2849	3	1
2896	2832	3	1
2190	1745	3	1
2261.333	1732	3	1
2341.333	1701	3	1
2626.333	1683	3	1
2459	1684.667	3	1
2483.333	1691.667	3	1
2491.667	1435.333	3	1
2523	1439.667	3	1
2610.667	1410	3	1
2708	1621	3	1
2377.667	2226	3	1
2382.667	2392.333	3	1
2392.333	2658.667	3	1
2303.667	2782.667	3	1
2193.333	2238	3	1
2178	2114.333	3	1
2255.333	1954	3	1
2592.667	2367	3	1
2699.333	2391.333	3	1
2536.333	2520.667	3	1
2457	2663	3	1
2571.667	2802	3	1
2578.333	2778.667	3	1
2474.333	2786.333	3	1
2994.667	2902	3	1
3188	2796	3	1
2761.333	2599.333	3	1
2826	2597.667	3	1
2664.333	2489.667	3	1
2828	2318.333	3	1
2767	2162	3	1
2797.333	2106.333	3	1
2697.667	1871.667	3	1
2742.333	1438.667	3	1
2650	1812	3	1
3084.333	2874.667	3	1
3268.667	2725	3	1
3263.667	2649.333	3	1
3195.667	2469	3	1
3170	2501	3	1
3133	2382.333	3	1
3057	2062	3	1
2860.333	1774	3	1
2888	1401.667	3	1
2831.333	1293.333	3	1
2604.333	1519.667	3	0.5
2499.333	1634	3	0.5
2682.667	1886.333	3	0.5
2809	2367.667	3	0.5
2633.333	2731.333	3	0.5
3187.667	2555.667	3	0.3
3210.667	2518.333	3	0.5
3185.667	2354.333	3	0.5
3119.333	2323.333	3	0.5
3191.333	2183.333	3	0.7
2924	2180	3	0.7
2895.333	2186.667	3	0.3
2901	2004.667	3	0.5
2922	1959.333	3	0.5
2884.333	1811.667	3	0.5
2836.667	1807.333	3	0.7
2821.333	1772.333	3	0.7
2849.667	1508	3	0.7
3282.667	1411.333	3	0.5
3324.667	1421.667	3	0.5
3223	1429.333	3	0.5
3118.667	1537.667	3	0.5
3165	1855.333	3	0.3
3086.333	2362.667	3	0.3
3026.333	2436.333	3	0.3
3064.333	2422	3	0.3
2977.667	2422.667	3	0.3
3005	2520.667	3	0.5
3058.667	2730.333	3	0.5
3040.333	2694.333	3	0.5
3238.667	3053	3	0.5
3274	3071.667	3	0.7
3298	3046	3	0.7
3374	3163.333	3	0.5
3456	3202.333	3	0.5
3429	3219.333	3	0.7
3409.333	3213	3	0.7
3532.333	3151.333	3	0.7
3655.333	3198.667	3	0.5
3538	3638.667	3	0.3
3524.333	3607.667	3	0.3
3592	3632	3	0.5
3583.667	3602	3	0.5
3595.667	3560.333	3	0.5
3589	3511.333	3	0.5
3465.333	3517.667	3	0.5
3365.333	3414.667	3	0.7
3611.333	3281.333	3	0.7
3509.333	2942.667	3	0.3
3646	1610.333	3	0.5
3670.333	1648	3	0.3
3751.667	1667	3	0.3
3754.667	1623.333	3	0.3
3615	1552	3	0.7
3421	1484.333	3	0.5
3378.333	1481	3	0.5
2439.333	1637	3	0.7
2506.333	1601.333	3	0.5
2467	1555.333	3	0.5
3877	1928	3	0.7
4040.667	1916.667	3	0.5
4272.667	3340.333	3	0.5
4200	3303.333	3	0.3
4746.667	3024	3	0.3
4711.667	2998	3	0.5
4706.667	2953	3	0.7
4639.667	2823.333	3	0.7
4239.333	2448.667	3	0.7
2798.333	1530	3	0.5
2667.667	1503.667	3	0.5
2564.667	1963	3	0.5
2704.333	2193.667	3	0.7
4275	2424.333	3	0.3
3052.333	2194.333	3	0.7
2778.333	2361	3	0.5
2980.333	2737	3	0.5
2804.333	2707	3	0.7
2677	2710.333	3	0.5
3499.667	2775	3	0.5
3468.333	2593.667	3	0.7
3053	1846.222	2	1
3086.111	1788.111	2	1
2930.333	1895.222	2	1
2819.333	1923	2	1
2844.667	1873.667	2	1
3086	2159.667	2	1
3154	2069	2	1
3158	1911	2	1
3354	1609.667	2	1
3256.667	1491.667	2	1
3350.667	1526.333	2	1
3386	1518.333	2	1
3195.333	1557.667	2	1
3136.667	1597	2	1
2974	1543	2	1
2698.667	1497.667	2	1
2680.667	2007	2	1
2800.667	2304.444	2	1
2790	2318.667	2	1
2770.444	2313.333	2	1
3060	2223.444	2	1
3598.778	1726.889	2	1
3467.222	1600.778	2	1
3439.667	1580.778	2	1
3310.778	1490.667	2	1
3264.111	1537.778	2	1
2742.556	1363.778	2	1
3015.444	1433.111	2	1
2710.333	1587.778	2	1
2788.556	1805	2	1
2950.889	2208.222	2	1
2987.778	2161.556	2	1
2874.444	2105.556	2	1
