foto 1
pin 1
X (um)	Y (um)
369.667	637.333

pin 2
X (um)	Y (um)
852.126	609.5

celulas
X (um)	Y (um)	TIPO	PB
325.667	106.333	6	1
383.333	142.333	6	1
446.667	246	6	1
444.333	458.333	6	1
404.667	446.333	6	1
427.667	395	6	1
362.667	526	6	1
379.333	572	6	1
509.667	473	6	1
506	544.667	6	1
714	298.667	6	1
691.333	185	6	1
759.333	458	6	1
712.667	482.667	6	1
668.333	447.667	6	1
601.333	446.333	6	1
818.667	324.333	6	1
671	601.667	6	1
622	550.333	6	1
578.667	468.667	6	0.3
733.333	563.333	6	0.5
675.333	503.667	6	0.5
786	424.667	6	0.5
828.667	470.333	6	0.7
844.333	530.667	6	0.7
798.667	605.667	6	0.3
636.333	353.667	6	0.7
777.333	234	6	0.3
654.333	296.333	6	0.7
670	271.667	6	0.5
547.667	155.667	6	0.5
541.667	570.667	6	0.7
711	543.667	6	0.3
737	596	6	0.3
634	606.333	6	0.5
717	360.667	6	0.3
602.222	379	6	0.7
596.444	562.111	6	0.5
566.222	553.667	6	0.5
644.444	418	6	0.7
586.222	421.111	6	0.3
753.333	369.889	6	0.3
810.667	348.111	5	1
708	408.556	5	1
662.222	385.444	5	1
617.778	398.333	5	1
734.222	463.667	5	1
821.333	562.889	5	1
808.444	580.222	5	1
692.889	595.333	5	1
714.667	630.889	5	1
642.222	632.667	5	1
595.556	599.333	5	1
555.111	632.222	5	1
596	631.333	5	1
640.667	437.556	5	1
472.222	577.556	5	1
510.889	595.778	5	1
565.556	595.778	5	1
422	190	5	1
442.444	106.889	5	1
449.556	83.333	5	1
515.333	76.667	5	1
498.444	85.111	5	1
531.333	92.667	5	1
582.444	111.778	5	1
542.889	121.111	5	1
602	110.444	5	1
651.333	153.111	5	1
625.556	131.333	5	1
607.778	149.556	5	1
576.222	143.778	5	1
464.667	116.222	5	1
482.444	104.222	5	1
463.778	65.111	5	1
470.444	50	5	1
485.111	46.444	5	1
514.889	66.444	5	1
366.444	78	5	1
348.667	75.778	5	1
419.333	55.556	5	1
688.667	120.444	5	1
734.889	131.111	5	1
706.889	160.889	5	1
775.556	135	5	1
