foto 3
pin 1
X (um)	Y (um)
619.33	613.33

pin 2
X (um)	Y (um)
759.33	110.67

celulas
X (um)	Y (um)	TIPO	PB
280.778	594.667	2	1
274.556	502.556	5	1
261.889	492.556	5	1
267	476.556	5	1
295	458.556	5	1
252.111	444.222	5	1
244.778	510	5	1
813.111	239.222	3	1
751.778	374.556	3	1
711.333	380.333	3	1
728.667	358.556	3	1
831.778	493.222	3	1
810.444	491.444	3	1
714.889	477.222	3	1
766.889	439.444	3	1
618.667	474.333	3	1
625.333	493.333	3	1
638.667	493	3	1
644	457	3	1
790.333	404.667	3	1
662.667	380.333	3	1
688.667	392	3	1
826	262.333	3	1
828	278.333	3	1
845	331.667	3	1
848	350	3	1
482.667	156.667	3	1
470	177.667	3	1
447	165.667	3	1
454	192.333	3	1
463	218.667	3	1
411	270.333	3	1
518.333	253.333	3	1
580.333	255.667	3	1
555.333	330.333	3	1

limite foto
X(um)	Y(um)
853	65.667
776	59.667
725	53.833
680.5	55.5
624.5	63.167
595.667	70.667
566.5	75.833
529.833	73
473.333	89.667
449.167	103.5
425.333	120.667
405	140.667
383.167	145
359.333	177.167
323	201.333
300	202.833
283.667	195.5
223.667	200.667
204	214.333
190.833	218
143	254.5
173	314
202.333	491.5
234.333	639.667
853	639.667

limite tejido
X (um)	Y (um)
148.333	232.167
153.5	229.333
157	227.333
159	224.333
162	222.5
164	220
168.333	217.833
173.167	215.167
178.5	209.833
181.333	213.833
185.5	217.833
190.833	218
204	214.333
210	208.167
213.667	202.667
223.667	200.667
233.833	203.833
241.167	205.167
250.5	205.667
257.667	202.167
271	200.667
278.167	201.5
283.667	195.5
289.5	200.333
295.167	202.5
300	202.833
305	203.333
311.333	203.167
315.833	200.667
323	200
332.667	197.5
339.5	196.667
343.667	191.167
348.167	189.667
355.833	183.5
359.333	177.167
363.333	169.833
367.833	162.333
373.167	157.333
376.5	151
383.167	145
393.5	142.333
405.167	136.833
410	135
413	131.667
419.333	127.5
425.5	122
430.833	117.833
436	110.667
440.5	107.333
449.167	103.5
459.667	99.667
465.5	96
473.333	89.667
484.333	88.667
493.667	89.667
506.167	87.5
521.5	82.5
529.833	73
544	77.167
558.667	76.5
566.5	75.833
574.667	77.5
585.167	79.833
595.667	72
602.5	66
624.5	63.167
641.833	63.5
657.667	58.333
680.5	55.5
701.5	53
712.167	52
725	53.833
740.167	54.333
752.333	56.833
763.333	56
778.833	59.667
794.167	63
809.667	69.167
823.333	75
834.667	80.167
847.333	80.5

limite lesion
X (um)	Y (um)
143.833	238.167
141	245
143	254.5
146.333	259.5
147.167	269.167
155.5	279.5
153.667	285.667
150	304.167
165.333	313.833
174.5	314
180.333	297.667
180.5	284.167
195.5	291.667
200.5	303.5
197	310.167
204.667	317
206.5	327.5
207.667	338.167
211.5	346.5
207.833	353.667
213.833	360.167
218.667	377.5
215.167	393.833
209.667	404.833
211.333	421.167
211.667	436.833
208.667	454.167
209.667	468.5
205.333	479.667
202.333	491.5
201.333	509.667
201.5	520.833
203	533.167
212	549.5
214.167	566.5
216.167	577.667
218.333	585.833
220.667	598.333
225.833	606.333
229.5	622.667
230.833	627.333
234.5	636

vaso
X (um)	Y (um)
501.333	280
508	272
514.667	269.333
523.333	272.667
526	282
529.333	296.667
538.667	306
547.333	322
552.667	349.333
552	365.333
556	390.667
552	403.333
530.667	414.667
512.667	414
508	402
508	387.333
507.333	372.667
498.667	360.667
494	340.667
490.667	330
489.333	305.333
492	292.667

vaso
X (um)	Y (um)	
560.333	556.333
577	562.667
602	556.333
616	539.667
619.667	517.667
611.333	504.333
607	483.333
599.667	470.667
585.333	472
567.333	464.667
554.667	458.333
538	460
532.333	471.667
535.333	494.667
542	523.333
548.667	539.667
553.667	549.333

vaso
X (um)	Y (um)	
693.672	122.678
689.161	146.131
710.81	142.523
725.243	132.6
737.872	121.776
746.892	113.658
736.97	108.245
721.635	104.637
707.202	110.951
	
vaso
X (um)	Y (um)
423.058	297.674
420.352	307.597
420.352	318.421
424.863	335.56
442.903	347.287
449.218	334.658
454.63	315.715
446.512	301.283
432.981	294.968

vaso
X (um)	Y (um)	
552.953	575.504
555.659	584.524
557.463	596.251
567.385	605.271
578.21	600.761
581.818	589.937
580.014	577.308
570.994	578.21
561.071	572.798

	
foto 4
pin 1
X (um)	Y (um)
627.67	60.89

pin 3
X (um)	Y (um)
596.00	594.22

celulas
X (um)	Y (um)	TIPO	PB
304.778	116.222	2	1
277.444	88.889	2	1
309.333	101.667	4	0.3
337	147.889	4	0.3
323.778	154	4	0.3
324.556	112.222	3	1
335	110.778	3	1
337.778	128.667	3	1
342.444	178.333	3	1
331.222	177.778	3	1
335.556	266.222	2	1
339	281.222	2	1
345	253.667	2	1
379.778	206.111	5	1
381	168	5	1
355.444	127.111	5	1
364	102.556	5	1
316.5	129.5	2	1
310.167	129.5	2	1
305.5	154.833	2	1
291.667	157.333	2	1
317.333	166.5	3	1
335	165.167	3	1
346.333	206.333	3	1
388.333	252.833	3	1
414	205.667	5	1
441.667	235.833	5	1
471.333	164	5	1
452.167	145.167	5	1
501.667	98.167	5	1
469.5	134.5	5	1
513.5	148.167	4	1
530	143.333	4	1
515	209.333	4	1
526.333	216.333	4	1
495	276.167	5	0.3
530.167	354.167	5	0.7
511.333	380.333	5	0.5
483.667	400.333	5	0.7
450.167	390	5	0.7
509.833	335.167	4	0.5
546.167	335.167	4	0.5
551.833	401.5	4	0.5
563.167	366.5	4	0.3
593	437.667	4	1
623	474	4	1
526	438.833	4	1
584.333	448.333	4	1
568.667	431.667	4	1
618.167	422.167	5	1
365	312.5	5	1
413	419.167	5	1
413.5	287.167	5	1
468.667	333.667	5	1
552.5	302.333	3	1
532	309.5	3	1
526.667	315	3	1
491.667	307.833	3	1
496	447.667	3	1
557.667	235	3	1
616.667	233.667	3	1
607.333	234.167	3	1
567.833	156	3	1
556.167	121.833	3	1
617.333	167.5	4	1
568.667	122.333	4	1
557	208.333	4	1
589.667	205.167	4	1
567.667	283.667	4	1
626.333	291.167	4	1
587.833	509.833	4	1
578.833	509.167	4	1
549.333	517	4	1
521.333	528.333	4	1
566.5	557.167	4	1
624.167	577.167	4	1
572.333	471.667	5	1
641.167	505	5	1
477.667	492.333	5	1
484.333	365	5	1
494.167	428.833	3	1
460.167	507.667	3	1
450.833	514.667	3	1
628.167	519.5	3	1
649.5	582.167	3	1
515.333	620.167	3	1
466.5	428.167	2	1
451.167	436	2	1
468.667	446.833	2	1
438.167	448.667	2	1
400	407.5	2	1
373.5	304	2	1
411.5	365	3	0.3
397.5	319.833	3	0.5
499.167	598	3	0.5
516.833	576.5	3	0.5
480.833	575.333	3	0.3
489.833	530.833	3	0.3
507.167	475.167	3	0.3
488.333	192.167	4	0.3
535.667	482.167	4	0.3
507.833	512.5	4	0.7
497.333	519.833	4	0.7
532.167	590	4	0.7
566.333	635.167	4	0.7
482.333	597.667	4	0.5
463.833	525	4	0.5
445.833	283.333	4	0.5
442.167	292.833	4	0.3
455	239.333	4	0.5
662.167	603.833	4	0.3
682.5	611.833	4	0.3
744.667	627.833	4	0.7
624.667	556.833	4	0.5
699.167	597.5	4	0.3
648	139.667	4	0.3
650.833	184.833	4	1
636.667	222.333	4	1
755.167	344.333	4	1
703.5	417.667	4	1
708.5	516	4	1
792.833	604.833	4	1
668.667	252.333	4	1
743.5	160	4	1
758.333	177.667	3	1
790.5	228	3	1
719.333	277.167	3	1
718	297.167	3	1
753.833	246.5	3	1
705.833	322.333	3	1
738.5	407.5	3	1
744	433.833	3	1
738.667	467.333	3	1
666.5	488.667	3	1
731.333	569.167	3	1
732.5	579.667	3	1
714.333	615.167	3	1
697.667	453	3	1
689.833	194	3	1
660.833	223.5	3	1
698	221	3	1
615.667	372.833	3	1
651	346	3	1
672.167	394	3	1
618.667	531.5	3	1
822	564	3	1
781	530.167	3	1
796.333	380	3	1
824.5	441.5	3	1
787.167	250.333	3	1
808.833	337.833	1	1
837.667	399.667	1	1
841	421.167	1	1
848.667	548.833	1	1
807.167	219.333	1	1
819.667	153.667	1	1
816.333	235	1	1
830.5	494.333	4	1
790.333	474	4	1
738.167	538.333	4	1
663.333	544.5	4	1
677.333	536	4	1
630.5	453.667	4	1
638.667	410.333	4	1
614.5	349.167	4	1
616.333	299.167	4	1
620.833	260.333	4	1
578.833	246	5	1
412	394.667	5	1
456	374.444	5	1
396	374.222	5	1
496.667	352.889	5	1
635.333	120.667	3	1
669.556	125.111	3	1
587.333	86.444	3	1
589.333	100.222	4	0.3
639.333	88.444	4	0.3
454.667	316.333	4	0.3
468.444	103.333	4	0.3
430.444	105.111	4	0.3
395.333	96.667	4	1
380.556	313.111	4	1
299.889	171.667	4	1
398.778	159.889	4	1
448.556	418.889	4	1
457.222	483.111	4	0.3
438.778	509.556	4	0.7
529.333	471.333	4	0.5
567.556	548.667	4	0.7
709.667	498	4	0.7
794.889	417.222	4	0.5
634	274.556	4	0.7
722.889	315.667	3	1
675.111	273	3	1
662.667	298.556	3	1
751.111	375.556	3	1
690.222	364	3	1
709.556	428	3	1
676.667	436.333	4	0.3
627.333	493.889	4	0.7
700.667	570.111	4	0.5
623.556	318	4	0.5
696.444	279.556	4	0.5
751.111	132	3	0.5
754.222	120.889	3	0.5
846	84.778	3	0.3
